channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCE3l3T4WIB8hv5SMn5UIPOw,Style Beauty,beauty,0,135,1226677,1,0,0,0,1,0,1,,,,,,"""style beauty"" makeup ""makeup ideas"" ""nail art"" nail nails lipstick ""lip art ideas"" ""eye makeup"" ""beauty life hacks"""
UCrOoCdS5Zz55qF0QHvZriyQ,John Kuckian,beauty,316330,188,51359548,0,1,0,0,0,0,0,,,16,61.6k,0,john kuckian british youtuber kuckians courtroom funny comedy fresher freshers drama gossip tea jaclyn hill carli bybel nikkietutorials boy man cute
UC2etEuPIfohP4P53wM0KImA,5-Minute Crafts GIRLY,beauty,565094,122,62811229,0,1,1,1,0,0,0,0,22,"2,400",13.3m,3,"""5-Minute Crafts"" girly ""5-Minute Crafts Girly"" DIY ""Do it yourself"" crafts trucos ""trucos de belliza"" ""proyectos faciles"" ""useful things"" lifehacks tricks tips ""DIY projects"" ""DIY activities"" Handcraft Tutorial woman women girl girls beauty"
UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,beauty,9337950,605,5708397395,0,1,1,1,0,0,0,1355,441615,"2,642",621.6k,60,vevo music video official
UCOAk3B5PdjJbLe2VLsAMXBA,Kbaby,beauty,614531,157,48635812,1,1,1,1,0,0,0,64985,179299,703,363.4k,"1,003","Beauty ""Mommy Channel"" ""Makeup Channel"" ""Baby boy"" Hauls Tutorials GRWM ""Young mom"" ""Teen mom"""
UC0IXvMUUPeYNVGe88ieMDEg,Seventeen,beauty,831325,3079,247253811,0,1,1,1,1,0,1,5391,1449509,"5,638",1.1m,796,"""seventeen magazine"" fashion style prom makeup beauty teen celebrity seventeen 17 dating"
UCp6n5l2AkjO5G50AgdC3Q-A,Allie Sevdalis,beauty,123468,637,17984044,1,1,0,1,0,0,0,3289,9971,759,25.8k,596,"xxalliecosmeticsxx ""allie sevdalis"" ""alisha sevdalis"" ""coffee and couture"" makeup fashion lifestyle vlogging"
UCssD3_aDYhaG44mwP53CO0w,littlemixVEVO,hair,8355470,117,3096752252,0,0,0,1,0,0,0,5214,11506339,,,,vevo music video official
UCZ-C3MumgpIahFQfUdwC6Ig,LifeBeauty,hair,1501942,751,461535794,0,0,0,0,0,0,0,,,,,,"""nail art"" lipstitck nails ""lipstick tutorial"" compilation ""nail art tutorial"" ""nail art design"" hair hairstyles ""hairstyles tutorials"" diy ""how to"" clothes ""life hacks"" ""diy clothes"" ""diy phone case"" ""diy room decor"" ""room decor"" makeup instagram ""eye makeup"" ""diy crafts"""
UCay_OLhWtf9iklq8zg_or0g,Boldly,hair,9203640,3443,8596794713,0,0,1,1,0,0,0,9146,130570,,,,"BuzzFeed ""BuzzFeed Yellow"" ""BuzzFeed Videos"" Funny Humor ""Social Issues"""
